"No.","Time","Source","Destination","Protocol","Length","Info"
"47114","1293.970521112","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TCP","86","[TCP Keep-Alive] 40990  >  443 [ACK] Seq=10029 Ack=127012 Win=64256 Len=0 TSval=2530446931 TSecr=1660182743"
"47115","1294.007380712","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","[TCP Keep-Alive ACK] 443  >  40990 [ACK] Seq=127012 Ack=10030 Win=93952 Len=0 TSval=1660227927 TSecr=2530401459"
"47116","1296.640686808","192.168.239.25","35.174.127.31","TLSv1.2","315","Application Data"
"47117","1296.710164023","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","110","Application Data"
"47118","1296.710423889","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","114","Application Data"
"47119","1296.775679488","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TCP","86","443  >  36094 [ACK] Seq=1057 Ack=1233 Win=562 Len=0 TSval=1302199243 TSecr=2530449671"
"47120","1297.011218180","35.174.127.31","192.168.239.25","TCP","66","443  >  38716 [ACK] Seq=7249 Ack=4747 Win=83968 Len=0 TSval=226190761 TSecr=3903785091"
"47121","1297.011218518","35.174.127.31","192.168.239.25","TLSv1.2","337","Application Data"
"47122","1297.011264647","192.168.239.25","35.174.127.31","TCP","66","38716  >  443 [ACK] Seq=4747 Ack=7520 Win=63872 Len=0 TSval=3903785462 TSecr=226190761"
"47123","1298.444722269","64:ff9b::23f4:b486","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","TLSv1.2","110","Application Data"
"47124","1298.444854272","2409:40f4:100b:c1b6:b9fb:3ec3:5675:a236","64:ff9b::23f4:b486","TLSv1.2","114","Application Data"
